,Time,Power
141,20180107_13,109.0400000000081
142,20180107_14,108.2719999999972
143,20180107_15,113.7119999999995
144,20180107_16,125.4560000000056
145,20180107_17,127.1039999999921
146,20180107_18,117.5200000000186
147,20180107_19,120.5760000000009
148,20180107_20,125.9679999999935
149,20180107_21,127.2000000000116
150,20180107_22,115.8559999999998
151,20180107_23,123.2799999999988
152,20180108_0,122.9759999999951
153,20180108_2,117.9519999999902
154,20180108_3,116.4960000000137
155,20180108_5,107.2799999999988
156,20180108_6,107.6320000000123
157,20180108_7,109.2319999999891
158,20180108_8,107.8559999999998
159,20180108_9,104.3360000000102
160,20180108_10,106.7360000000044
161,20180108_11,111.1840000000084
162,20180108_13,115.5840000000026
163,20180108_14,132.2880000000005
164,20180108_15,131.0879999999888
165,20180108_16,139.551999999996
166,20180108_18,153.5039999999863
167,20180108_19,145.4720000000088
168,20180108_20,147.6320000000123
169,20180108_21,144.7999999999884
170,20180108_22,142.5279999999912
171,20180108_23,138.9280000000144
172,20180109_0,128.7999999999884
173,20180109_1,131.5679999999993
174,20180109_2,124.7680000000109
175,20180109_3,116.3040000000037
176,20180109_4,111.1520000000019
177,20180109_5,100.3999999999942
178,20180109_6,102.5439999999944
179,20180109_7,132.5599999999977
180,20180109_8,212.4800000000105
181,20180109_9,222.7680000000109
182,20180109_10,241.7759999999835
183,20180109_11,247.7600000000093
184,20180109_12,246.3839999999909
185,20180109_13,254.9439999999886
186,20180109_14,263.2480000000214
187,20180109_15,256.1119999999937
188,20180109_16,272.4640000000072
189,20180109_17,203.5039999999863
190,20180109_18,145.7920000000158
191,20180109_19,241.2159999999858
192,20180109_21,235.1040000000212
193,20180109_22,235.5679999999993
194,20180109_23,211.2319999999891
195,20180110_0,116.7840000000142
196,20180110_2,100.1119999999937
197,20180110_3,91.12000000002445
198,20180110_4,88.59199999997509
199,20180110_7,89.80799999998999
200,20180110_8,186.2240000000165
201,20180110_9,210.0319999999774
202,20180110_10,234.9120000000112
203,20180110_11,242.3360000000102
204,20180110_12,231.7280000000028
205,20180110_13,253.2799999999988
206,20180110_14,249.0239999999758
207,20180110_15,257.2160000000149
208,20180110_16,264.2399999999907
209,20180110_18,156.7840000000142
210,20180110_19,252.3839999999909
211,20180110_20,257.1840000000084
212,20180110_21,250.3999999999942
213,20180110_22,240.9280000000144
214,20180111_0,125.4239999999991
215,20180111_1,116.5439999999944
216,20180111_2,113.9199999999837
217,20180111_3,113.1200000000244
218,20180111_4,115.4239999999991
219,20180111_6,109.80799999999
220,20180111_7,115.7440000000061
221,20180111_9,224.5119999999879
222,20180111_10,250.2239999999874
223,20180111_11,243.4079999999958
224,20180111_12,237.3760000000184
225,20180111_13,249.2479999999923
226,20180111_14,269.5040000000154
227,20180111_15,270.5760000000009
228,20180111_16,285.1520000000019
229,20180111_17,227.8719999999739
230,20180111_18,184.7680000000109
231,20180111_19,284.6240000000107
232,20180111_20,284.0160000000033
233,20180111_21,275.5999999999767
234,20180111_22,250.4320000000007
235,20180112_0,130.1120000000228
236,20180112_1,129.8879999999772
237,20180112_2,124.448000000004
238,20180112_4,123.039999999979
239,20180112_5,121.3440000000119
240,20180112_6,118.7680000000109
241,20180112_7,120.7200000000012
242,20180112_8,207.9839999999967
243,20180112_9,232.4799999999814
244,20180112_10,248.6080000000075
245,20180112_11,255.8719999999739
246,20180112_12,252.7200000000303
247,20180112_13,253.6959999999963
248,20180112_14,253.5200000000186
249,20180112_15,280.1759999999776
250,20180112_16,282.7200000000303
251,20180112_17,233.2799999999697
252,20180112_18,169.1520000000019
253,20180112_19,270.2079999999842
254,20180112_20,278.5120000000461
255,20180112_21,262.2239999999874
256,20180112_22,254.2399999999907
257,20180112_23,231.4239999999991
258,20180113_0,122.4159999999683
259,20180113_1,115.0080000000307
260,20180113_2,114.7519999999786
261,20180113_4,172.320000000007
262,20180113_5,202.2719999999972
263,20180113_6,198.0959999999614
264,20180113_7,196.4800000000396
265,20180113_8,196.4159999999683
266,20180113_9,208.5760000000009
267,20180113_10,235.8880000000354
268,20180113_11,254.4319999999716
269,20180113_12,238.6240000000107
270,20180113_13,261.7760000000126
271,20180113_14,260.9439999999595
272,20180113_15,264.4160000000265
273,20180113_17,202.7519999999786
274,20180113_18,151.2000000000116
275,20180113_19,245.8879999999772
276,20180113_20,241.2800000000279
277,20180113_21,237.7280000000028
278,20180113_22,231.4239999999991
279,20180113_23,210.8159999999916
280,20180114_0,123.61599999998
281,20180114_1,114.2080000000424
282,20180114_2,115.2639999999665
283,20180114_4,108.2239999999874
284,20180114_5,105.4720000000088
285,20180114_8,102.9760000000242
286,20180114_10,117.0239999999758
287,20180114_11,105.7280000000028
288,20180114_12,100.1600000000326
289,20180114_13,102.0160000000033
290,20180114_14,119.5519999999669
291,20180114_15,127.679999999993
292,20180114_16,127.1680000000051
293,20180114_17,126.4640000000363
294,20180114_19,130.1120000000228
295,20180114_20,130.0480000000098
296,20180114_23,131.2960000000312
297,20180115_0,119.4239999999991
298,20180115_1,116.9599999999627
299,20180115_2,115.8720000000321
300,20180115_3,112.0320000000065
301,20180115_4,106.0160000000033
302,20180115_5,100.7679999999818
303,20180115_6,95.77600000001257
304,20180115_7,98.11199999996461
305,20180115_8,94.68800000002375
306,20180115_9,93.66399999998976
307,20180115_11,97.5679999999702
308,20180115_12,98.52799999999115
309,20180115_14,119.7119999999995
310,20180115_15,128.320000000007
311,20180115_16,130.6239999999525
312,20180115_18,127.7119999999995
313,20180115_19,129.1200000000536
314,20180115_20,134.0479999999516
315,20180115_21,137.9520000000484
316,20180115_22,137.5999999999767
317,20180115_23,136.9919999999693
318,20180116_1,123.935999999987
319,20180116_2,113.7920000000158
320,20180116_3,108.7679999999818
321,20180116_4,107.9360000000452
322,20180116_5,105.6639999999898
323,20180116_6,106.5279999999912
324,20180116_7,131.359999999986
325,20180116_8,199.6479999999865
326,20180116_9,198.9760000000242
327,20180116_10,222.5279999999912
328,20180116_11,223.8720000000321
329,20180116_12,224.2239999999874
330,20180116_13,218.8800000000047
331,20180116_14,219.1680000000051
332,20180116_15,165.3759999999893
333,20180116_16,145.9839999999967
334,20180116_17,147.5839999999735
335,20180116_18,145.344000000041
336,20180116_19,238.8800000000047
337,20180116_20,233.4719999999506
338,20180116_21,224.8320000000531
339,20180116_22,217.5359999999637
340,20180116_23,212.0960000000196
341,20180117_0,113.3759999999893
