,date_time,power,temp,hum,wind,sun,prec,day,month,week,holiday,sin_time,cos_time,THI
80,2018-01-04 19:00:00,240.2400000000198,-1.7,46.0,0.7,0.0,0.0,3,1,1,0,-0.9659258262890684,0.2588190451025203,12.0704
81,2018-01-04 20:00:00,237.4560000000056,-1.7,47.0,0.7,0.0,0.0,3,1,1,0,-0.8660254037844386,0.5000000000000001,11.858099999999997
82,2018-01-04 22:00:00,222.1760000000068,-2.2,52.0,1.1,0.0,0.0,3,1,1,0,-0.5000000000000004,0.8660254037844384,10.193599999999996
83,2018-01-05 00:00:00,108.6559999999881,-2.6,53.0,0.6,0.0,0.0,4,1,1,0,0.0,1.0,9.380099999999999
84,2018-01-05 01:00:00,104.4320000000007,-2.9,55.0,0.7,0.0,0.0,4,1,1,0,0.25881904510252074,0.9659258262890683,8.712500000000002
85,2018-01-05 02:00:00,96.8640000000014,-3.0,57.0,0.4,0.0,0.0,4,1,1,0,0.49999999999999994,0.8660254037844387,8.48409999999999
86,2018-01-05 04:00:00,89.2960000000021,-3.4,58.0,0.3,0.0,0.0,4,1,1,0,0.8660254037844386,0.5000000000000001,7.769599999999993
87,2018-01-05 06:00:00,89.43999999997322,-3.4,59.0,0.8,0.0,0.0,4,1,1,0,1.0,6.123233995736766e-17,7.794899999999995
88,2018-01-05 07:00:00,84.76800000001094,-3.4,58.0,0.4,0.0,0.0,4,1,1,0,0.9659258262890683,-0.25881904510252063,7.769599999999993
89,2018-01-05 08:00:00,183.679999999993,-3.5,63.0,0.7,0.0,0.0,4,1,1,0,0.8660254037844387,-0.4999999999999998,7.914099999999998
90,2018-01-05 09:00:00,208.1600000000035,-2.9,64.0,0.8,0.3,0.0,4,1,1,0,0.7071067811865476,-0.7071067811865475,9.118400000000001
91,2018-01-05 10:00:00,219.9200000000128,-1.6,57.0,0.7,0.8,0.0,4,1,1,0,0.49999999999999994,-0.8660254037844387,11.004099999999994
92,2018-01-05 11:00:00,230.9919999999984,-0.3,48.0,1.1,1.0,0.0,4,1,1,0,0.258819045102521,-0.9659258262890682,14.185599999999997
93,2018-01-05 12:00:00,246.3040000000037,1.4,44.0,1.2,1.0,0.0,4,1,1,0,1.2246467991473532e-16,-1.0,18.134399999999996
98,2018-01-05 17:00:00,216.5919999999751,2.2,51.0,2.1,0.7,0.0,4,1,1,0,-0.9659258262890683,-0.25881904510252063,18.2269
99,2018-01-05 18:00:00,154.5760000000009,0.9,57.0,2.3,0.0,0.0,4,1,1,0,-1.0,-1.8369701987210297e-16,15.504099999999994
100,2018-01-05 19:00:00,244.9920000000275,-0.1,61.0,1.4,0.0,0.0,4,1,1,0,-0.9659258262890684,0.2588190451025203,13.844899999999999
101,2018-01-05 20:00:00,246.2559999999939,-1.2,66.0,1.1,0.0,0.0,4,1,1,0,-0.8660254037844386,0.5000000000000001,12.4864
102,2018-01-05 21:00:00,240.8800000000047,-1.8,69.0,1.0,0.0,0.0,4,1,1,0,-0.7071067811865477,0.7071067811865474,12.016899999999993
103,2018-01-05 22:00:00,228.8640000000014,-1.7,72.0,1.5,0.0,0.0,4,1,1,0,-0.5000000000000004,0.8660254037844384,12.985599999999998
104,2018-01-06 00:00:00,136.2559999999939,-2.2,74.0,0.9,0.0,0.0,5,1,1,1,0.0,1.0,12.710399999999996
105,2018-01-06 01:00:00,129.3759999999893,-2.3,77.0,1.3,0.0,0.0,5,1,1,1,0.25881904510252074,0.9659258262890683,13.6161
